price,bedroom,sqft,bathroom,amenity_count
2400,2,1050.0,2,7
1550,0,400.0,1,6
3000,3,1188.0,2,6
1675,1,675.0,1,4
5000,3,2200.0,3,7
3799,1,730.0,1,7
3799,1,755.0,1,9
1945,1,721.0,1,5
1861,1,730.0,1,5
2964,1,915.0,1,5
3175,2,1351.0,2,5
2566,2,1063.0,1,5
3760,2,1598.0,2,5
3099,2,1380.0,2,5
4999,2,1017.0,1,5
2896,1,830.0,1,5
2731,1,965.0,1,5
3452,1,568.0,1,7
2898,2,1113.0,2,3
4977,2,1222.0,2,5
2114,1,719.0,1,5
2561,1,747.0,1,5
2623,1,640.0,1,8
2445,0,475.0,1,8
4125,1,690.0,1,9
3900,3,995.0,1,4
1998,2,1500.0,1.5,6
2800,2,1000.0,1,4
3200,1,900.0,1,6
3007,2,950.0,2,8
3100,1,850.0,1,5
2200,0,496.0,1,7
2200,1,855.0,1,6
3200,2,1300.0,1,5
3400,3,1200.0,1,3
3000,2,1100.0,1,4
3500,2,850.0,1,6
2395,2,920.0,2,5
2095,2,800.0,1,4
2300,2,900.0,1,5
2195,2,900.0,1,5
2500,2,1000.0,1,6
2200,2,900.0,1.5,3
2200,3,1250.0,1.5,4
4250,2,1806.0,2.5,6
2550,2,1200.0,1,5
2500,1,550.0,1,7
3200,2,1276.0,2,5
3100,3,1206.0,1,5
1600,1,500.0,1,6
2800,3,1300.0,1,3
2550,2,1251.0,2,8
2625,2,1331.0,2,8
2700,2,1008.0,2,7
2000,1,450.0,1,3
3450,3,1500.0,1,3
3099,3,1100.0,1,5
4131,2,1000.0,2,8
1850,1,550.0,1,7
2325,2,600.0,1,6
2275,2,700.0,1,5
1473,0,400.0,1,6
2200,2,950.0,1,6
2400,2,950.0,1,7
2100,1,825.0,1,6
2000,1,600.0,1,4
4250,2,1248.0,2,6
5950,2,1320.0,2.5,8
2600,3,1100.0,1,5
2400,2,1800.0,1,4
2900,1,460.0,1,8
5000,4,1200.0,2,5
3300,2,853.0,1,6
2045,2,980.0,2,6
2300,2,1000.0,1,4
795,1,1200.0,2,3
1095,1,1500.0,2,3
2442,0,430.0,1,8
4500,3,850.0,1,6
3050,2,630.0,1,5
3400,2,700.0,1,6
6300,2,1250.0,2,6
3350,1,700.0,1.5,5
2300,0,400.0,1,5
2200,0,400.0,1,5
2800,2,630.0,1,5
2800,2,630.0,1,5
1845,0,230.0,1,3
2050,0,330.0,1,5
2650,1,600.0,1,5
1895,0,230.0,1,5
4000,3,750.0,1,3
3650,2,750.0,1,6
3775,3,750.0,1,4
2900,1,650.0,1,7
4300,2,1400.0,2,7
5000,3,2200.0,3,7
4500,3,1578.0,2,7
5000,3,2200.0,3,8
2350,2,745.0,1,3
1585,1,650.0,1,5
2595,2,850.0,2,6
3600,3,1200.0,1,5
3200,3,1656.0,1,7
2900,3,1430.0,1,5
3700,3,1800.0,3,6
2000,1,700.0,1,6
3100,2,865.0,1,4
2275,2,700.0,1,5
2325,2,600.0,1,6
2000,2,1100.0,1,6
2195,2,900.0,1,6
2550,2,950.0,1,5
3200,3,1800.0,2.5,4
3500,2,1176.0,2,6
1300,3,250.0,1,3
2500,2,1171.0,2,4
2500,2,1125.0,2,5
2400,2,1000.0,1,6
3400,3,1600.0,1,4
2349,2,1040.0,2,6
3000,2,1348.0,1,8
3000,2,1348.0,1,6
2495,2,750.0,1,6
4950,4,2144.0,2.5,6
2800,2,1100.0,2,2
2700,2,1138.0,2,2
5000,3,2200.0,3,8
2734,1,605.0,1,8
7780,3,1482.0,2,9
2000,2,700.0,1,5
3000,3,1000.0,1,3
2500,1,550.0,1,7
1375,1,675.0,1,5
4195,3,1200.0,1,4
3600,3,1200.0,2,8
1900,1,700.0,1,0
2000,1,700.0,1,3
2200,2,900.0,1,0
2200,2,1100.0,1,5
2000,0,475.0,1,4
1800,1,700.0,1,6
3400,2,1642.0,2.5,6
2400,1,740.0,1,6
4200,2,1100.0,2,7
2025,1,550.0,1,4
1725,0,487.0,1,5
2100,0,410.0,1,7
3800,3,1400.0,2,0
2100,2,1800.0,1.5,4
2800,1,1000.0,1,0
2605,1,740.0,1,7
7800,8,2542.0,3.5,5
2515,1,624.0,1,8
5600,4,1400.0,2,7
1570,2,9999.0,1,9
2400,2,1000.0,1,3
4400,4,1500.0,2,5
2395,2,775.0,1,6
2200,2,850.0,1,5
1575,1,700.0,1,4
2300,1,700.0,1,6
1600,1,778.0,1,4
2400,2,1100.0,1.5,6
2358,0,430.0,1,9
2105,0,505.0,1,8
4500,2,1100.0,1,5
2150,1,600.0,1,5
2600,2,1300.0,1,4
2095,1,730.0,1,5
2439,2,1000.0,2,5
1839,1,580.0,1,5
2066,2,850.0,1,5
2902,2,1276.0,2,5
3116,2,1216.0,2,5
2583,1,936.0,1,5
2985,1,1235.0,1,5
2256,1,962.0,1,5
5295,2,1037.0,1.5,5
4495,1,915.0,1,5
2439,1,774.0,1,5
2797,1,1122.0,1,5
3403,1,568.0,1,7
2833,2,1081.0,2,3
3788,1,765.0,1,5
2350,2,975.0,2,5
2114,1,719.0,1,5
2893,2,1045.0,2,5
2506,1,690.0,1,5
4300,2,596.0,1,8
2800,2,1003.0,1,5
2500,0,364.0,1,8
3195,2,1000.0,1.5,5
3195,2,1000.0,1.5,5
2950,1,603.0,1,8
2800,3,1280.0,1,3
2200,2,800.0,1,3
2995,1,1000.0,1,6
2600,1,629.0,1,7
2700,3,1100.0,1,3
2400,2,1100.0,1,5
2250,1,490.0,1,7
4650,1,646.0,1,5
2200,0,430.0,1,7
2250,1,580.0,1,6
3100,2,700.0,1,5
2200,1,773.0,1,6
3000,2,1200.0,2,5
2800,2,650.0,1,6
2650,0,425.0,1,8
1966,1,560.0,1,5
3600,3,1200.0,2,4
1775,1,675.0,1,5
3900,2,1300.0,1.5,4
1800,1,950.0,1,6
2736,0,423.0,1,9
2300,2,1100.0,1,5
6510,2,1265.0,2,8
3850,1,730.0,1,8
1700,1,800.0,1,4
2995,1,535.0,1,6
2000,1,700.0,1,4
1604,0,300.0,1,6
1700,1,670.0,1,6
2950,4,1040.0,1,4
2550,1,600.0,1,6
3300,2,800.0,2,6
3300,2,800.0,1,5
4000,2,1200.0,2,6
3000,2,1700.0,2,7
1800,1,600.0,1,5
1750,1,650.0,1,7
3200,2,1100.0,1.5,8
2050,1,650.0,1,8
1950,2,900.0,1,6
3700,2,800.0,1,6
1900,0,249.0,1,6
2750,3,1200.0,1,5
1874,1,700.0,1,3
1404,1,564.0,1,3
1700,1,575.0,1,5
1819,2,875.0,1,3
1675,1,705.0,1,3
1695,1,675.0,1,3
2500,2,1200.0,1,6
7000,4,1780.0,3,6
3095,1,535.0,1,6
4895,3,1060.0,1.5,7
2250,1,490.0,1,7
1995,0,405.0,1,6
2200,1,855.0,1,6
3500,4,1350.0,2,7
3350,2,964.0,1,7
3800,3,2400.0,2.5,5
2535,1,768.0,1,7
3000,1,430.0,1,8
3000,1,430.0,1,8
3000,1,659.0,1,8
2800,2,1600.0,2.5,5
1900,2,900.0,1,4
5900,5,1700.0,2,7
3000,2,1000.0,1,3
2095,1,668.0,1,8
4275,2,1000.0,1.5,8
4200,2,950.0,1,8
4250,2,1000.0,1.5,8
7350,5,1800.0,2,8
3200,2,924.0,2,4
625,1,100.0,shared,4
5340,2,940.0,1,5
4500,3,1660.0,2.5,4
725,1,170.0,shared,4
4000,4,2085.0,3,7
1850,1,700.0,1,4
2400,2,1000.0,1,7
3350,2,964.0,1,6
2800,1,650.0,1,6
1725,0,487.0,1,5
2000,3,1200.0,1,6
3200,3,1300.0,1,4
1979,2,675.0,1,5
1597,1,300.0,1,5
2525,2,700.0,1,8
2350,1,750.0,1,5
2100,1,600.0,1,8
2500,2,800.0,1,3
2395,1,756.0,1,7
2266,2,1114.0,2,7
2100,1,582.0,1,8
2500,3,1100.0,1,8
2850,3,1050.0,1,4
3440,2,675.0,1,3
1959,1,847.0,1,6
2800,1,650.0,1,5
3200,2,1029.0,1,7
2300,2,1085.0,1,4
2400,1,624.0,1,5
2450,2,1200.0,1,5
1795,2,775.0,1,3
1725,2,785.0,1,3
1450,2,750.0,1,5
3000,3,1100.0,1,2
1995,0,405.0,1,6
2250,1,490.0,1,7
3400,5,1850.0,2,3
1826,2,792.0,1,5
2950,2,1000.0,1,9
3100,2,1100.0,1.5,6
2312,2,1031.0,2,5
2255,2,925.0,1.5,5
3289,2,1208.0,2,5
2625,1,1046.0,1,5
2454,1,842.0,1,5
2851,1,1231.0,1,5
2656,1,1076.0,1,5
3650,3,1950.0,2.5,8
2950,2,1062.0,2,6
1750,3,900.0,1,4
2200,1,1000.0,1,10
2300,3,800.0,1,5
2695,2,850.0,1,4
3160,2,1060.0,2,11
3610,1,755.0,1,5
2995,1,914.0,1,5
4094,2,1339.0,2,5
2999,0,465.0,1,7
2604,1,899.0,1,3
4284,1,829.0,1,5
2350,2,975.0,2,5
2511,1,747.0,1,5
2400,2,1100.0,1,4
4895,3,1060.0,1.5,7
7000,4,1780.0,3,6
3450,2,1073.0,2,7
2650,1,708.0,1,3
2850,3,1450.0,2,4
2250,1,490.0,1,7
3900,2,1100.0,1,5
2450,2,1200.0,1,5
1995,0,405.0,1,6
2200,0,430.0,1,6
2300,0,640.0,1,9
3200,3,1000.0,1,3
2967,2,1000.0,2,8
1150,1,450.0,1,4
2090,1,681.0,1,7
1824,1,700.0,1,3
2600,4,1506.0,1,4
2225,1,652.0,1,5
2050,1,1050.0,1,8
2399,1,750.0,1,6
2188,3,1450.0,1.5,6
3731,2,1050.0,2,8
1893,2,1070.0,1,6
1473,0,358.0,1,6
2700,2,1000.0,1,6
2395,2,775.0,1,6
2200,1,855.0,1,6
3600,3,1600.0,2,4
2900,3,1600.0,2,6
2650,1,600.0,1,3
2400,0,450.0,1,3
2300,0,400.0,1,7
2600,2,1200.0,1.5,4
2784,1,650.0,1,8
2350,1,600.0,1,5
2600,2,850.0,1,7
4849,2,1194.0,2,8
1986,1,560.0,1,5
1600,1,800.0,1,4
3270,2,700.0,1,8
2500,2,1014.0,1,6
3097,3,1666.0,2,4
2550,1,720.0,1,6
3475,0,508.0,1,9
5000,3,2200.0,3,8
4498,2,1010.0,2,10
3971,2,860.0,2,10
3199,1,585.0,1,10
3174,1,756.0,1,10
2712,0,496.0,1,10
2702,0,526.0,1,10
2600,2,860.0,1,4
3700,2,825.0,1,7
1750,2,900.0,1,0
2999,3,1200.0,1,4
1000,5,4500.0,2,3
1150,2,625.0,1,3
2900,2,1000.0,1,6
2734,2,1000.0,1,3
3300,2,980.0,2,10
1600,1,650.0,1,4
2280,1,825.0,1,3
5800,5,2200.0,2,6
2350,2,950.0,1,3
3200,1,725.0,1,4
2700,3,1100.0,1,3
2525,2,1000.0,1,6
3200,3,1300.0,1,5
2050,1,785.0,1,8
2185,1,947.0,2,7
6000,4,3200.0,2.5,5
1250,0,400.0,1,4
2275,1,690.0,1,5
5000,3,2200.0,3,8
2790,3,900.0,1,8
5500,5,2000.0,2,4
2900,2,1200.0,1,5
2699,1,678.0,1,8
2250,2,1050.0,1,3
2850,3,1100.0,1.5,6
3900,2,750.0,1,5
2400,2,950.0,1,7
2000,1,700.0,1,6
1944,1,809.0,1,6
3200,2,1276.0,2,5
1500,1,270.0,1,3
